cohort,skill_id,skill_name,author,taxonomy_labels
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,anthropics,coding_dev;data_ml_ai;security;research_analysis;workflow_automation;integration_tools
popular,anthropics-claude-code-plugins-plugin-dev-skills-mcp-integration-skill-md,mcp-integration,anthropics,coding_dev;devops_infra;data_ml_ai;security;documentation_writing;workflow_automation;integration_tools
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-settings-skill-md,configured-agent,anthropics,coding_dev;security;documentation_writing;workflow_automation;integration_tools
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-structure-skill-md,command-name,anthropics,coding_dev;devops_infra;workflow_automation;integration_tools
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics,coding_dev;data_ml_ai;documentation_writing;workflow_automation;integration_tools
popular,anthropics-claude-cookbooks-claude-skills-cookbook-audit-skill-md,cookbook-audit,anthropics,coding_dev;data_ml_ai;documentation_writing;workflow_automation
popular,anthropics-claude-cookbooks-skills-custom-skills-analyzing-financial-statements-skill-md,analyzing-financial-statements,anthropics,documentation_writing;research_analysis
popular,anthropics-claude-cookbooks-skills-custom-skills-applying-brand-guidelines-skill-md,applying-brand-guidelines,anthropics,documentation_writing;product_design
popular,anthropics-claude-cookbooks-skills-custom-skills-creating-financial-models-skill-md,creating-financial-models,anthropics,data_ml_ai;documentation_writing;research_analysis
popular,anthropics-skills-skills-algorithmic-art-skill-md,algorithmic-art,anthropics,coding_dev;documentation_writing;workflow_automation
popular,anthropics-skills-skills-brand-guidelines-skill-md,brand-guidelines,anthropics,coding_dev
popular,anthropics-skills-skills-canvas-design-skill-md,canvas-design,anthropics,research_analysis;workflow_automation
popular,anthropics-skills-skills-doc-coauthoring-skill-md,doc-coauthoring,anthropics,documentation_writing;workflow_automation;integration_tools
popular,anthropics-skills-skills-docx-skill-md,docx,anthropics,coding_dev;documentation_writing;research_analysis;workflow_automation
popular,anthropics-skills-skills-frontend-design-skill-md,frontend-design,anthropics,coding_dev;product_design
popular,anthropics-skills-skills-internal-comms-skill-md,internal-comms,anthropics,domain_specific
popular,anthropics-skills-skills-mcp-builder-skill-md,mcp-builder,anthropics,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,anthropics-skills-skills-pdf-skill-md,pdf,anthropics,documentation_writing
popular,anthropics-skills-skills-pptx-skill-md,pptx,anthropics,documentation_writing;workflow_automation
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics,coding_dev;documentation_writing;research_analysis;workflow_automation
popular,anthropics-skills-skills-slack-gif-creator-skill-md,slack-gif-creator,anthropics,workflow_automation;integration_tools
popular,anthropics-skills-skills-theme-factory-skill-md,theme-factory,anthropics,workflow_automation
popular,anthropics-skills-skills-web-artifacts-builder-skill-md,web-artifacts-builder,anthropics,coding_dev;product_design
popular,anthropics-skills-skills-webapp-testing-skill-md,webapp-testing,anthropics,workflow_automation;product_design
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,anthropics,coding_dev;devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,apache-shardingsphere-codex-skills-analyze-issue-skill-md,analyze-issue,apache,coding_dev;devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,apache-shardingsphere-codex-skills-gen-ut-skill-md,gen-ut,apache,coding_dev;documentation_writing;research_analysis;workflow_automation
popular,apache-shardingsphere-codex-skills-review-pr-skill-md,review-pr,apache,coding_dev;security;workflow_automation;integration_tools
popular,assafelovic-gpt-researcher-claude-skill-md,gpt-researcher,assafelovic,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,berriai-litellm-tests-llm-translation-test-skills-data-slack-gif-creator-skill-md,slack-gif-creator,BerriAI,workflow_automation;integration_tools
popular,browser-use-browser-use-skills-browser-use-skill-md,browser-use,browser-use,devops_infra;documentation_writing;workflow_automation;integration_tools
popular,calcom-cal-com-agents-skills-calcom-api-skill-md,calcom-api,calcom,coding_dev;security;documentation_writing;workflow_automation;integration_tools
popular,calcom-cal-com-agents-skills-vercel-react-best-practices-skill-md,vercel-react-best-practices,calcom,coding_dev;documentation_writing
popular,calcom-cal-com-agents-skills-web-design-guidelines-skill-md,web-design-guidelines,calcom,coding_dev;product_design
popular,calcom-cal-com-opencode-skill-vercel-react-best-practices-skill-md,vercel-react-best-practices,calcom,coding_dev;documentation_writing
popular,ccxt-ccxt-claude-skills-ccxt-csharp-skill-md,ccxt-csharp,ccxt,coding_dev;security;integration_tools
popular,ccxt-ccxt-claude-skills-ccxt-go-skill-md,ccxt-go,ccxt,coding_dev;security;integration_tools
popular,ccxt-ccxt-claude-skills-ccxt-php-skill-md,ccxt-php,ccxt,coding_dev;security;integration_tools
popular,ccxt-ccxt-claude-skills-ccxt-python-skill-md,ccxt-python,ccxt,coding_dev;security;research_analysis;integration_tools
popular,ccxt-ccxt-claude-skills-ccxt-typescript-skill-md,ccxt-typescript,ccxt,coding_dev;security;integration_tools
popular,chromedevtools-chrome-devtools-mcp-skills-chrome-devtools-skill-md,chrome-devtools,ChromeDevTools,workflow_automation;product_design;integration_tools
popular,clickhouse-clickhouse-claude-skills-build-skill-md,build,ClickHouse,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation
popular,clickhouse-clickhouse-claude-skills-fix-sync-skill-md,fix-sync,ClickHouse,data_ml_ai;documentation_writing;workflow_automation;integration_tools
popular,clickhouse-clickhouse-claude-skills-test-skill-md,test,ClickHouse,coding_dev;devops_infra;data_ml_ai;documentation_writing;workflow_automation;integration_tools
popular,cockroachdb-cockroach-claude-skills-backport-pr-assistant-skill-md,backport-pr-assistant,cockroachdb,coding_dev;security;workflow_automation;integration_tools
popular,cockroachdb-cockroach-claude-skills-commit-helper-skill-md,commit-helper,cockroachdb,coding_dev;security;documentation_writing;workflow_automation;product_design
popular,cockroachdb-cockroach-claude-skills-reduce-unoptimized-query-oracle-skill-md,reduce-unoptimized-query-oracle,cockroachdb,coding_dev;data_ml_ai;documentation_writing
popular,cockroachdb-cockroach-pkg-ui-claude-skills-react-class-to-functional-skill-md,react-class-to-functional,cockroachdb,coding_dev;workflow_automation
popular,code-yeongyu-oh-my-opencode-src-features-builtin-skills-agent-browser-skill-md,agent-browser,code-yeongyu,research_analysis;workflow_automation
popular,code-yeongyu-oh-my-opencode-src-features-builtin-skills-dev-browser-skill-md,dev-browser,code-yeongyu,coding_dev;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,code-yeongyu-oh-my-opencode-src-features-builtin-skills-frontend-ui-ux-skill-md,frontend-ui-ux,code-yeongyu,coding_dev;documentation_writing;research_analysis;workflow_automation;product_design
popular,code-yeongyu-oh-my-opencode-src-features-builtin-skills-git-master-skill-md,git-master,code-yeongyu,coding_dev;data_ml_ai;research_analysis;workflow_automation;product_design
popular,composiohq-awesome-claude-skills-artifacts-builder-skill-md,artifacts-builder,ComposioHQ,coding_dev;product_design
popular,composiohq-awesome-claude-skills-changelog-generator-skill-md,changelog-generator,ComposioHQ,coding_dev;security;documentation_writing;integration_tools
popular,composiohq-awesome-claude-skills-competitive-ads-extractor-skill-md,competitive-ads-extractor,ComposioHQ,security;documentation_writing;research_analysis;workflow_automation;product_design;integration_tools
popular,composiohq-awesome-claude-skills-connect-apps-skill-md,connect-apps,ComposioHQ,coding_dev;devops_infra;security;integration_tools
popular,composiohq-awesome-claude-skills-connect-skill-md,connect,ComposioHQ,coding_dev;devops_infra;security;workflow_automation;integration_tools
