cohort,skill_id,skill_name,has_skill_md,embedded_example_mentions,embedded_code_fence_count,example_dir_count,example_dir_paths,example_file_count,example_total_bytes,example_file_exts
popular,composiohq-awesome-claude-skills-lead-research-assistant-skill-md,lead-research-assistant,1,3,4,0,,0,0,
popular,composiohq-awesome-claude-skills-mcp-builder-skill-md,mcp-builder,1,9,1,0,,0,0,
popular,composiohq-awesome-claude-skills-meeting-insights-analyzer-skill-md,meeting-insights-analyzer,1,19,7,0,,0,0,
popular,composiohq-awesome-claude-skills-raffle-winner-picker-skill-md,raffle-winner-picker,1,2,8,0,,0,0,
popular,composiohq-awesome-claude-skills-skill-creator-skill-md,skill-creator,1,23,4,0,,0,0,
popular,composiohq-awesome-claude-skills-skill-share-skill-md,skill-share,1,1,1,0,,0,0,
popular,composiohq-awesome-claude-skills-slack-gif-creator-skill-md,slack-gif-creator,1,2,28,0,,0,0,
popular,composiohq-awesome-claude-skills-tailored-resume-generator-skill-md,tailored-resume-generator,1,1,5,0,,0,0,
popular,composiohq-awesome-claude-skills-twitter-algorithm-optimizer-skill-md,twitter-algorithm-optimizer,1,9,0,0,,0,0,
popular,composiohq-awesome-claude-skills-video-downloader-skill-md,youtube-downloader,1,3,8,0,,0,0,
popular,continuedev-continue-skills-cn-check-skill-md,cn-check,1,0,11,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-evaluation-skill-md,agent-evaluation,1,0,0,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-manager-skill-skill-md,agent-manager-skill,1,1,2,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-memory-mcp-skill-md,agent-memory-mcp,1,0,5,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-memory-systems-skill-md,agent-memory-systems,1,0,0,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-tool-builder-skill-md,agent-tool-builder,1,2,0,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agents-autogpt-skill-md,autogpt-agents,1,2,19,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agents-crewai-skill-md,crewai-multi-agent,1,2,22,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agents-langchain-skill-md,langchain,1,1,20,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agents-llamaindex-skill-md,llamaindex,1,4,25,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-ai-agents-architect-skill-md,ai-agents-architect,1,1,3,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-autonomous-agent-patterns-skill-md,autonomous-agent-patterns,1,0,15,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-autonomous-agents-skill-md,autonomous-agents,1,0,0,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-behavioral-modes-skill-md,behavioral-modes,1,5,8,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-claude-code-guide-skill-md,claude-code-guide,1,0,1,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-computer-use-agents-skill-md,computer-use-agents,1,0,3,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-context-window-management-skill-md,context-window-management,1,0,0,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-context7-auto-research-skill-md,context7-auto-research,1,2,1,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-conversation-memory-skill-md,conversation-memory,1,0,0,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-crewai-skill-md,crewai,1,0,3,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-data-processing-nemo-curator-skill-md,nemo-curator,1,0,14,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-data-processing-ray-data-skill-md,ray-data,1,2,18,0,,0,0,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-datadog-cli-skill-md,datadog-cli,1,1,10,0,,0,0,
